subtopic,count
property,2556
attempt,21
origin,6
creation,27495
psychological_feature,36
nonexistence,1
fact,171
supernaturalism,45
falsehood,1
category,66
present,6
content,351
emotional_state,6
method,6
body_of_water,3
hurt,1
education,120
natural_object,1540
organism,91
discipline,253
spirit,45
being,861
complex_number,28
creator,1081
end,78
influence,28
interest,6
command,136
situation,36
sphere,3
physical_condition,1
representation,276
attribute,91
philosophical_doctrine,36
communication,55
state,630
juvenile,10
region,78
topographic_point,6
people,231
act,300
value,10
advantage,136
message,210
information,378
musical_composition,6
case,231
activity,2346
word,465
belief,78
past,55
group,630
idea,190
abstraction,105
questioning,10
time_period,153
religious_person,36
European,136
theological_virtue,15
building_complex,105
Romance,3
writer,10
orientation,6
news_article,1
better,3
component,28
intuition,36
name,3
quality,1485
hominid,435
nonaccomplishment,6
writing,28
change,231
rule,91
feature,21
concept,105
undertaking,6
metallic_element,21
kind,10
signal,28
coating,1
literary_composition,10
look,1
perception,1
happening,136
person,741
degree,10
achiever,300
maneuver,36
offer,3
gas,1
concern,36
tense,28
extremity,78
material,15
percussion_instrument,3
actinic_radiation,10
communicable_disease,1
employee,1
goal,55
substance,45
communicator,15
shame,1
assets,6
discourse,3
social_group,66
detail,15
awareness,120
emotion,45
structure,45
appearance,276
consequence,10
condition,91
programming_language,3
selling,1
area,15
compound,1
traveler,1
imperfection,1
injustice,6
commissioned_military_officer,1
poverty,1
military_action,21
desire,15
alignment,78
mathematical_relation,6
rational_motive,66
intellectual,10
time,66
radical,1
shackle,1
unit,3
phase_of_the_moon,15
imagination,45
higher_cognitive_process,6
consciousness,28
scholar,45
readiness,1
Indo-European,6
basic_cognitive_process,6
time_unit,210
rank,78
confusion,3
legal_document,45
formation,6
work,45
curve,1
importance,3
round_shape,1
matter,66
possibility,91
excavation,1
honor,3
improvement,6
large_indefinite_quantity,120
request,10
herb,21
circumstance,1
physics,1
contentment,1
compatibility,1
inclination,1
countenance,153
adult,465
transgression,10
official,1
achromatic_color,6
superior_skill,1
force,78
opinion,6
animal,10
correction,3
operation,3
innocence,10
collection,153
knowing,45
success,1
phenomenon,36
conservative,1
boundary,3
feeling,253
anger,1
body,3
bovid,1
tract,55
real_number,1
quotient,10
treasure,1
bodily_process,36
army_unit,1
implementation,55
ill-being,1
indulgence,1
military_unit,10
corridor,1
wheeled_vehicle,1
experience,136
context,6
servant,3
periodic_event,1
affect,3
graphic_art,105
part,78
sense_organ,36
measurement,1
avoirdupois_unit,1
troy_unit,1
righteousness,3
expectation,3
difficulty,21
imaginary_being,3
party,3
speech_act,10
artist,120
religion,28
auditory_communication,55
imitation,3
society,45
stare,6
idealist,1
peer,3
religious_song,10
dislike,1
public_transport,1
artwork,15
creativity,21
trait,6
class,1
social_relation,3
objection,1
conflict,1
performer,15
point,253
elite,28
control,6
match,3
size,3
acquisition,1
organization,6
artifact,45
physical_phenomenon,15
action,3
factor,1
evidence,6
be,10
duration,3
development,1
strongbox,1
organic_process,1
linguistic_process,1
verbal_creation,1
accomplishment,3
failure,1
permit,3
occupation,6
professional,3
enterprise,28
instrumentality,28
utterance,3
broadcasting,1
body_part,10
administrator,1
press,3
skilled_worker,1
mercantile_establishment,1
depository,1
product,3
specialist,1
environment,21
educational_institution,1
pond,6
woody_plant,6
national,1
administrative_district,45
associate,6
need,1
motivation,10
recipient,1
whole,3
politician,1
agreement,1
beginning,1
numerical_quantity,21
relation,78
worth,3
philosophy,15
explanation,10
thing,55
quantity,15
danger,1
generalization,15
skill,15
social_control,10
polity,6
promote,3
contest,1
good,6
creating_by_mental_acts,6
group_action,1
order,10
pride,1
residence,1
object,10
inactivity,1
large_integer,10
time_of_life,6
chemical_element,21
pyrimidine,66
sound_property,3
capitalist,1
income,1
Gregorian_calendar_month,10
relative_quantity,15
indefinite_quantity,6
amount,1
time_off,1
travel,3
custom,3
foundation,6
gathering,10
art,1
doctrine,3
statement,21
financial_condition,3
political_unit,10
mixture,1
medium_of_exchange,6
rescue,3
fiction,1
religious,3
series,1
sculpture,6
rock,3
ability,45
nature,6
examination,3
arrangement,1
visual_communication,10
intelligence,1
psychological_state,1
spy,3
contractile_organ,1
equal,3
small_indefinite_quantity,45
physical_entity,55
building,21
cognition,55
nobility,1
waste,3
partition,10
culture,1
flag,3
illustration,6
liking,1
device,15
play,1
pleasure,1
natural_process,1
cognitive_state,10
bite,1
substitution,3
increase,6
composite,1
restoration,1
vertebrate_foot,6
energy,1
overabundance,1
declare,1
interaction,1
language_unit,36
practicality,1
advocate,1
strait,1
sensation,3
philosopher,1
power,1
weather,3
motion,3
vital_principle,1
annoyance,1
liquid_body_substance,1
fear,6
discharge,1
woman,1
digit,21
bottom,3
beauty,1
support,1
writing_implement,1
fabric,10
extent,6
remark,6
perceiver,1
personal_property,6
chemical_process,1
number,1
attitude,6
electrical_phenomenon,1
penalty,6
decrease,3
chromatic_color,10
garment,10
solid,15
leaf,1
jewelry,1
room,3
change_by_reversal,1
container,1
system_of_measurement,10
speech,10
day,1
acquirer,1
status,1
dance,1
admiration,1
interpretation,1
spatial_property,6
duty,15
mathematical_statement,6
science,1
clarify,1
curiosity,6
shade,1
sorrow,1
external_body_part,28
workplace,10
mansion,1
perplexity,1
simpleton,15
choice,3
frighten,1
commodity,21
judgment,3
illness,1
line,1
general_officer,1
architectural_style,1
fundamental_quantity,1
East_Germanic,1
natural_ability,3
Asian,1
nongovernmental_organization,1
negotiator,1
benefit,3
right,3
Cross,1
real_property,1
understanding,3
magnitude,6
plastic_art,1
manner,1
morpheme,1
misfortune,3
attraction,6
spacing,3
timepiece,1
distress,1
parent,10
asset,1
spiritual_being,3
pain,1
