subtopic,count
emotion,478740
state,6557
angiosperm,171
spacing,3
natural_object,18723
spirit,2629
base_hit,92
pain,210
chromatic_color,406
fear,45
gathering,36
celestial_body,406
change,3573
perplexity,91
problem,1
elation,36
pyrimidine,136
organism,7628
feeling,7505
hominid,1830
external_body_part,630
concept,1035
party,171
taxonomic_group,3
message,820
collection,378
possibility,1035
section,15
administrative_district,153
symptom,496
wealth,15
confinement,10
nonaccomplishment,66
manner,210
warrior,6
plumbing_fixture,6
whist,435
adult,13864
malevolence,15
good,630
person,13532
property,16654
increase,21
situation,4372
quality,9045
force,2926
curiosity,10
relation,1276
twist,1
sensitivity,91
reflection,1
content,2213
cognitive_state,351
condition,2080
activity,3655
rule,105
time_unit,3240
attribute,325
system_of_measurement,1
large_indefinite_quantity,1485
amount,15
rank,903
kind,78
intuition,11175
influence,190
container,66
psychological_feature,561
develop,15
physical_phenomenon,301
course,28
magnitude,28
boundary,10
falsehood,6
legal_document,947
achiever,2145
extremity,1954
maneuver,45
appearance,946
honor,191
life,55
undertaking,36
statement,210
bodily_process,561
questioning,45
arouse,1
meet,3
people,3404
relative,45
European,1128
large_integer,1177
reproductive_structure,78
flash,15
woody_plant,91
semidarkness,3
pair,6
written_agreement,1
advantage,3003
reason,1
device,231
topographic_point,78
job_action,6
musical_composition,153
time,820
auditory_communication,45
benefit,36
education,703
transgression,276
psychological_state,28
United_Nations_agency,10
pleasure,92
being,19111
ammunition,78
visual_percept,153
degree,253
isolation,6
be,36
place_of_worship,10
absentee,1
font,10
relative_quantity,2775
origin,190
debt,3
case,2926
representation,190
termination,10
end,861
happening,2926
animal,378
sorrow,78
anticipation,406
tense,300
physical_property,6
process,36
part,351
show,153
area_unit,21
character,3
semblance,1
unconcern,6
accusation,3
traveler,6
youth_subculture,3
order,231
alignment,3323
time_period,2211
actinic_radiation,1326
attempt,468
imagination,380
real_property,10
formation,79
move,10
certainty,6
military_service,3
land,1
mistake,1
religious_song,66
important_person,36
liking,10
importance,21
evidence,3
precipitation,105
defamation,6
Indian,1
national,6
cube,22
drive,28
decision_making,6
tract,325
sound,153
following,10
utterance,91
plant_disease,10
component,153
change_by_reversal,6
season,300
plant_organ,153
grasping,3
guardianship,105
opinion,780
vertebrate_foot,28
sense_organ,91
sadness,105
ill-being,3
digit,1276
category,780
dimension,21
religion,21
spatial_property,6
military_unit,91
male_sibling,91
gum,6
abstraction,1275
region,2212
language_unit,990
animal_tissue,15
parent,300
male_offspring,45
injustice,55
worry,3
opportunity,10
emotional_state,595
praise,3
information,741
group,4278
elite,55
danger,36
attitude,15
sensualist,10
visual_communication,3
religious,6
independence,6
knowing,120
disposition,10
smell,28
association,1
political_unit,36
permit,3
intangible,6
fact,1379
act,497
explanation,7
capture,7
point,1225
income,6
unit,120
ability,45
humaneness,120
peer,3
loyalty,1
male_horse,15
officer,1
indefinite_quantity,276
subject,1
illumination,136
touch,105
line,36
unrighteousness,45
communicate,6
taste,3
misery,15
mercantile_establishment,6
word,496
communication,78
excavation,406
faculty,78
atmosphere,120
numerical_quantity,120
sympathy,253
relationship,231
implementation,120
anger,1
belief,276
trait,55
foundation,91
natural_virtue,78
command,300
idea,210
metallic_element,120
military_action,210
support,28
speaker,6
feel,3
acquisition,231
ritual,6
rational_motive,820
theological_virtue,528
emotionality,3
society,28
intelligence,21
causal_agent,1
creating_by_mental_acts,3
pride,276
physical_entity,231
social_group,91
meaning,45
detail,45
physiological_property,1
oblique,1
conceptualization,3
vital_principle,496
work,276
lover,703
integrate,15
area,378
religious_person,21
selfishness,1
depth,1
stinginess,10
object,36
desire,946
cost,1
discourse,1
display,1
past,820
power,36
gas,55
substance,153
disorder,153
contest,21
herb,120
context,6
medical_practitioner,3
marital_status,15
separation,6
decay,6
mental_illness,3
physical_condition,55
illness,7
worker,1
polish,1
sick_person,3
cognition,1275
destiny,11
experience,631
supernaturalism,36
celebrity,6
control,28
death,21
juvenile,903
running_away,6
protective_covering,3
small_indefinite_quantity,780
symbol,21
concern,435
male,66
complex_number,171
instrumentality,153
path,21
phenomenon,105
imaginary_being,28
resentment,55
envy,45
reciprocality,3
kinship,1
deprive,1
specialist,3
principal,1
awareness,595
offer,10
phase_of_the_moon,190
capability,28
improvement,45
unselfishness,1
whole,45
speech,190
day,66
publication,36
woman,378
communicable_disease,78
fruit,10
energy,1
chemoreceptor,1
rima,3
articulator,171
adversity,1
fruit_tree,1
profanity,10
hide,1
carnivore,3
reflex,6
body_covering,1
linkage,10
social_control,325
written_record,6
sound_property,21
facial_expression,15
metric_linear_unit,105
feature,136
Gregorian_calendar_month,36
countenance,153
reformer,3
extent,36
time_of_life,351
deity,15
light,120
structure,435
approval,55
calmness,28
chemical_element,467
partition,15
insect,6
privacy,1
gift,6
production,21
photographer's_model,10
accomplishment,78
solfa_syllable,15
interest,15
opposition,105
irrational_impulse,10
change_state,121
ill_health,45
change_of_location,45
try,3
value,15
medicine,21
series,21
cord,10
telegram,1
organic_process,55
movable_barrier,55
speech_act,78
astonishment,3
aptitude,3
hour,561
set,15
Italian,3
writer,15
implement,1
body_of_water,666
newlywed,3
calm,1
plant_fiber,1
work_time,91
unpleasant_person,21
mentor,1
environmental_condition,1
liquid_body_substance,136
spiritual_being,79
air_mass,16
simpleton,36
shade,45
clergyman,22
assets,91
chemical_phenomenon,21
weapon,1
tube,1
assembly,3
military_quarters,1
spy,3
iridaceous_plant,3
foundation_garment,1
insight,1
discipline,6
friendliness,3
matter,105
building_complex,66
jewel,22
residue,3
philosophy,3
limit,28
poverty,1
sacred_text,3
commune,15
penalty,6
address,10
present,91
difficulty,91
imperfection,45
declaration,3
emergence,6
horse,1
follower,21
execution,1
mercifulness,3
consequence,172
dissatisfaction,21
combustion,67
hoop,1
love,66
kindness,6
leaf,1
occupation,1
factor,6
action,21
hindrance,36
orientation,10
identity,28
inside,6
consciousness,210
ale,11
weight,1
satisfaction,28
search,1
girl,55
result,6
attractiveness,1
negative,10
clue,6
movement,55
look,21
body_part,105
indispose,15
bow,1
bad,15
weather,120
residence,66
enclosure,1
aristocrat,3
amphibian,1
division,1
convey,1
fractional_monetary_unit,1
stream,55
building,28
side,10
binary_compound,55
flow,3
impossibility,45
artifact,36
electrical_phenomenon,3
barrier,1
opening,3
position,3
goal,120
art,1
communicator,1
individualist,1
heating,3
quantity,10
natural_elevation,91
inclination,36
effort,15
interaction,1
attraction,78
expectation,3
confusion,3
stroke,15
scenery,1
form,6
condensation,6
failure,1
framework,56
particulate,21
locomotion,3
speaking,10
wind,6
clasp,1
vertebrate,55
acknowledgment,10
thing,91
fury,3
disapproval,1
artist,21
possession,45
leader,55
generalization,105
football_play,1
atmospheric_phenomenon,6
beginning,45
bottom,10
obstruction,1
contact,6
child,28
satisfy,15
intruder,3
municipality,6
travel,36
commoner,3
beverage,1
pond,21
unfitness,3
deceiver,3
affirmative,45
elasticity,1
event,1
interpret,6
morality,3
readiness,6
acquiring,1
military_installation,10
organization,91
male_aristocrat,21
economic_condition,1
misfortune,10
vegetation,3
financial_condition,21
medium_of_exchange,66
change_integrity,3
enterprise,21
anxiety,1
blur,1
design,1
basic_cognitive_process,55
higher_cognitive_process,10
baked_goods,10
genitor,15
omission,3
geological_formation,21
alcohol,10
pretense,1
musician,1
custom,1
precious_metal,91
standing,1
lack,21
chemical_agent,10
creativity,45
saying,10
imitation,3
assistant,6
righteousness,1
need,153
common_fraction,6
measure,10
integrity,1
newspaper,10
magnitude_relation,6
group_action,10
resource,3
document,3
happiness,6
growth,1
wrongdoing,3
hypothesis,1
friendship,1
devolve,1
gentleman,3
moment,10
wrongdoer,3
military_personnel,3
general_officer,28
wit,1
plan_of_action,3
soil,276
atom,6
impressiveness,1
dirtiness,1
educator,10
sphere,66
plot,10
breathe,1
garment,28
diapsid,1
news_article,15
prediction,6
largeness,3
affectionateness,3
match,15
teaching,6
workplace,3
middle,231
remark,3
agreement,21
permission,3
become,3
treasure,6
size,11
judgment,15
amnesia,1
shrub,1
separate,1
sleeper,1
surprise,6
promote,3
deterioration,1
distress,15
reward,1
worship,28
brightness,10
harmony,3
protection,1
vascular_plant,21
plant_part,1
pesticide,1
devastation,1
layer,3
natural_process,3
mishap,3
rescue,6
blind,1
recess,1
bird_of_prey,10
friend,21
oldster,6
change_of_integrity,10
West_Germanic,1
rate,1
dislike,45
unfortunate,15
use,1
duty,1
strongbox,6
mixture,1
examination,6
signal,3
practice,1
scientist,6
system,1
animation,6
transferred_property,3
electrical_device,1
multitude,1
obscurity,6
stare,3
classification,1
harvester,1
actor,3
fundamental_quantity,3
feather,1
temporary_state,3
affect,1
intellectual,10
writing_style,1
musical_notation,1
exist,1
innocence,15
greed,6
individuality,1
wonder,1
unlawful_carnal_knowledge,1
aid,3
obtain,6
status,6
affection,3
conceit,1
real_number,3
score,6
programming_language,3
mathematical_relation,3
perception,3
placement,1
wellbeing,28
number,3
performing_arts,3
clothing,6
descent,3
music,6
think,3
principle,1
enough,1
wood,1
sealing_material,1
sovereign,37
inform,3
hate,3
neural_structure,6
shelter,6
pauper,1
temperature,3
chair_of_state,1
meeting,3
innocent,3
propulsion,1
share,6
sprout,1
indebtedness,1
displease,1
plain,1
public_transport,6
judge,6
radical,3
choice,15
body,3
transaction,6
army_unit,3
ellipse,3
dramatic_composition,6
prosperity,3
composure,3
sexual_desire,6
defender,1
come,3
inheritance,3
telephone,7
disown,1
source_of_illumination,1
limb,6
fence,1
request,10
liquid,1
spend,1
adversary,1
dominance,3
angular_shape,1
suffering,1
scholar,10
knot,6
permanence,1
performer,1
creation,172
material,6
affair,3
paper,1
evil,1
tidal_flow,1
deliberation,1
bench,1
class,1
sameness,1
eagerness,1
gratification,1
stay,3
sect,1
curve,10
acceptance,6
right,10
agent,1
dairy_product,1
intercommunication,3
lenience,10
creator,1
fasten,1
suffer,1
environment,21
instrument,1
writing_implement,1
nonexistence,15
beauty,7
copper-base_alloy,1
apparition,1
strip,3
song,1
concede,3
cereal,1
doctrine,1
farmhand,1
propriety,1
effect,3
seat,6
lunatic,3
denial,3
change_of_state,1
asset,6
discussion,1
assertion,3
believe,1
compunction,1
memory,6
return,3
raise,3
hostility,1
battle,1
disrespect,1
computer_network,3
speed,1
infidelity,6
commitment,6
scat,1
homicide,1
comfort,3
disagreement,2
join,1
respect,1
fitness,1
report,3
means,36
noise,3
insanity,10
quotient,21
percussion_instrument,6
periodic_event,10
table,3
motion,22
lepidopterous_insect,1
country,3
domestic,3
ruminant,1
international_intelligence_agency,3
believer,1
business,3
discovery,1
maltreatment,3
psychic,6
sense,1
motivation,10
disappointment,3
enrollee,1
space,6
larceny,1
aggression,3
impression,1
safety,6
include,3
article,1
contemplation,3
know-how,3
chemical_process,6
man,1
surface,3
compatibility,6
chasm,3
solid,6
atmospheric_electricity,1
fastener,6
expel,1
pigeon,6
servant,10
generality,1
dynasty,1
priest,1
express_emotion,3
personality,3
contestant,3
water_sport,1
consumption,1
decision,1
wave,21
covering,3
athletic_contest,10
enter,1
manner_of_speaking,1
connective_tissue,10
conversation,3
major_form_class,1
adjective,3
agitation,3
idealist,3
political_orientation,1
animal_skin,3
extramarital_sex,1
understanding,10
food,3
respiratory_organ,3
helping,3
sensation,3
floor,1
courage,1
get,1
calculate,1
way,1
thrush,1
spouse,6
shrewdness,1
award,1
mathematical_statement,1
geological_phenomenon,10
craving,1
Holy_Order,1
literary_composition,1
applicant,3
cooperation,1
reflector,1
adjust,1
white_matter,1
drinker,1
berth,1
conductor,10
encouragement,1
animal_group,1
joy,1
prosody,1
trouble,1
disadvantage,1
better,1
persecution,1
social_relation,3
disturbance,1
gaiety,3
misconception,3
mark,1
discrimination,1
disgust,1
exhale,1
structural_member,1
female_sibling,1
community,6
deviation,1
inspiration,1
organ,1
negotiator,1
achromatic_color,1
drop,1
plant_material,1
injury,3
edge_tool,1
insensitivity,1
record,1
self-discipline,1
gramineous_plant,1
doubt,1
leave_office,3
liliaceous_plant,1
bedroom_furniture,3
detach,1
prevention,1
silence,3
recipient,1
official,1
farewell,1
perform,1
bunch,1
medium,1
decrease,1
transport,1
kill,1
dipterous_insect,1
pink,1
changelessness,1
armament,3
misdemeanor,1
neckwear,3
bog,1
domestic_animal,3
vessel,3
tree,1
