subtopic,count
fundamental_quantity,10
Gregorian_calendar_month,55619
military_action,228832
inhabitant,2081
strain,6
report,28
peer,276
written_communication,6
assertion,21
achiever,3321
title,120
metallic_element,1378
legal_document,1128
misfortune,28
sound,232
rate,55
acceptance,21
liquid_body_substance,990
force,7503
residence,105
imaginary_being,136
instrument,78
activity,3160
aggression,120
mathematical_relation,10
reference_point,6
instrumentality,1176
contest,66
extremity,1035
preserver,21
mansion,28
tract,1176
good,190
person,10298
political_unit,3160
act,496
natural_object,6670
concept,210
rank,1379
property,3570
time_unit,2926
command,300
word,28
bad,15
transformation,10
public_transport,10
discussion,55
room,7022
abstraction,1326
difficulty,153
assets,153
administrative_district,2081
content,1226
commissioned_military_officer,253
organization,351
category,231
success,378
loyalty,55
life,106
sexual_desire,10
inductance_unit,465
scholar,28
part,231
guardianship,78
being,3161
quality,4186
collection,1380
metric_linear_unit,741
protective_covering,66
condition,325
courage,66
small_indefinite_quantity,666
formation,3160
death,3
spirit,171
travel,91
message,2145
seat,253
vessel,66
military_service,946
structure,903
possibility,276
American,1
interrogation,596
information,781
group,4096
digit,15227
advantage,378
implementation,231
victim,10
imagination,232
print_media,1
proceeding,1
guided_missile,1
happening,1654
fact,253
falsehood,28
statement,1326
past,4006
time_of_life,496
curiosity,55
order,1893
work,105
present,326
think,1
light,21
writing,1831
European,4005
adult,7141
injustice,6
physical_property,153
organism,703
generalization,91
homicide,66
psychological_feature,136
humaneness,78
people,4560
end,1081
state,1953
arrangement,3
situation,596
factor,3
publication,5051
programming_language,3
sphere,21
join,529
contestant,28
section,2279
religion,21
disorder,36
side,36
calmness,6
feature,28
association,28
change,2211
cognition,300
emotion,862
firearm,10
case,1081
woman,210
external_body_part,171
military_unit,703
income,15
parent,190
clothing,28
friend,21
male_sibling,10
suffering,15
knife,6
consequence,66
relative,91
creation,232
large_indefinite_quantity,351
watchman,10
defender,55
brew,1
propulsion,15
path,3
vegetation,21
domestic_animal,6
marksman,1
autoimmune_disease,91
line,66
anticipation,78
change_of_location,6
limb,21
Frenchman,1
building,300
edible_fruit,10
method,6
workplace,45
support,28
affect,3
certainty,6
value,78
social_control,253
society,136
meaning,66
need,36
cause,1
utterance,55
failure,106
weapon,1128
Asian,6
man,190
diplomat,37
nation,153
gesture,10
cabinet_minister,10
relative_quantity,436
material,45
language_unit,231
fragment,3
benefactor,1
social_relation,231
spitz,1
domestic_fowl,10
religious_person,28
questioning,231
interpretation,172
percussion_instrument,45
indefinite_quantity,55
attempt,947
step,10
infantryman,6
projectile,36
conflict,120
speech_act,4373
interchange,3
inform,6
document,3322
Lord,91
nonaccomplishment,36
coalition,1
German,6
placental,6
representative,6
number,91
choice,66
achromatic_color,29
domain,36
psychological_state,10
transferred_property,6
fortitude,1
origin,172
physical_condition,10
time,351
article,10
influence,497
danger,28
space,6
chemical_phenomenon,1
maneuver,36
decision_making,28
disagreement,6
swine,1
psychotic,1
rest_day,1
manservant,106
general_officer,3161
termination,352
transgression,379
creating_from_raw_materials,1
occultist,3
head,66
lawman,21
waste,6
stolen_property,21
skilled_worker,466
drawing,6
font,1
dinner,45
point,1379
education,325
social_group,325
device,231
care,3
medical_science,1
gymnastic_apparatus,15
product,6
body,820
attack,210
actinic_radiation,66
evaluate,1
army_unit,351
boundary,55
wellbeing,1
herb,276
feeling,171
love,6
group_action,136
idea,78
employment,3
store,1
peace,6
discipline,210
killer,21
elite,171
animal,210
brightness,15
application,28
address,78
experience,153
child,15
substance,45
worker,15
ethical_motive,1
horse,6
perplexity,1
speech,741
wayfarer,1
assembly,66
negative,254
power,55
administrative_unit,92
principal,46
disciple,1
plaything,1
municipality,378
dynasty,903
vital_principle,28
system,121
topographic_point,91
concern,136
theological_virtue,36
place_of_worship,10
church,15
enlisted_person,820
striker,1
intuition,28
armored_vehicle,3
aerosol,3
output,21
time_period,5672
slope,15
commercial_enterprise,28
felony,3
hominid,861
region,2926
cereal,3
thrush,21
aptitude,1
opinion,36
overabundance,1
farmhand,1
faculty,66
scenery,1
dislike,10
attacker,3
religious_song,66
philosophy,3
tense,21
knowledge_domain,1
division,3
ordering,91
polity,231
beard,36
primate,1
summary,3
cover,15
examination,15
heavier-than-air_craft,10
base_hit,171
physical_phenomenon,36
artifact,45
intellectual,10
killing,55
binary_compound,15
telephone,36
edge_tool,15
warhorse,1
playing_card,6
writing_implement,3
song,45
time_off,1
Romance,231
hour,91
thing,91
meeting,276
withdrawal,6
messenger,15
sadness,28
emblem,15
definite_quantity,3
award,55
spiritual_being,10
plant_material,3
building_complex,55
culture,78
undertaking,10
large_integer,4278
thoroughfare,6
military_personnel,10
change_state,55
bedroom_furniture,3
morphology,1
chemical_element,630
epidemic_disease,10
heading,28
movement,3
honor,190
adulthood,1
written_record,1128
partition,6
standing,10
red,6
readiness,21
warship,6
dishonor,10
military_installation,10
unfortunate,66
component,105
artillery,28
representation,137
enlisted_man,45
academician,1
sculpture,3
cavalry,6
civil_time,21
move,21
page,4
direct_action,22
hindrance,4
party,66
compensation,3
expectation,21
return,55
anger,45
production,3
connection,3
rule,55
foundation,3
goal,190
unmake,3
voice_part,231
relation,1036
warrior,78
accomplishment,28
commerce,6
matter,210
weekday,36
ill-being,10
imperfection,6
wit,15
emergence,6
creativity,3
noise,91
socialism,153
financial_loss,6
extent,10
phenomenon,465
payment,3
cost,3
body_part,232
regular_payment,10
negotiation,15
demobilization,1
male,120
weaponry,91
business,15
class,10
creator,21
ditch,15
plant,136
